toast with almond butter and bananas
"scrambled eggs, black beans and onions"
"omelet with goat cheese, mushrooms, spinach, tomato"
french omelette
"peaches, cottage cheese, walnuts"
"bananas, greek yogurt, pecans, cinnamon"
"smoothie with kale/spinach, frozen banana, fruits "
"greek yogurt, blueberries, banana, walnuts, raw honey "
"oats with cinnamon, cardamom, greek yogurt, cooked apples"
